1, 6.604599911952392e-06
2, 5.889400199521333e-06
3, 5.025599966756999e-06
4, 4.121800157008693e-06
5, 2.5006000214489175e-06
6, 2.369000139879063e-06
7, 2.3295997380046174e-06
8, 2.317200051038526e-06
9, 2.296800084877759e-06
10, 2.2393996914615855e-06
11, 3.4138000046368687e-06
12, 3.761599873541854e-06
13, 5.719199907616712e-06
14, 5.460800093715079e-06
15, 2.3412001610267906e-06
16, 5.033799970988184e-06
17, 2.3582000721944495e-06
18, 2.258200038340874e-06
19, 3.121599729638547e-06
20, 2.333999873371795e-06
21, 2.3737997253192588e-06
22, 2.375000258325599e-06
23, 2.432000110275112e-06
24, 2.296800084877759e-06
25, 2.323800072190352e-06
26, 2.391599991824478e-06
27, 3.035800182260573e-06
28, 5.1561997679527846e-06
29, 2.609599687275477e-06
30, 3.080199894611724e-06
31, 9.511600001133048e-06
32, 5.855000199517235e-06
33, 3.50419977621641e-06
34, 2.535599924158305e-06
35, 3.3696000173222273e-06
36, 6.194999878061936e-06
37, 2.881600084947422e-06
38, 2.9294002160895617e-06
39, 2.6720001187641175e-06
40, 7.618599920533598e-06
41, 2.9203998565208168e-06
42, 3.531800030032173e-06
43, 3.947200093534775e-06
44, 3.047599966521375e-06
45, 2.9278002330102026e-06
46, 2.9201997676864267e-06
47, 2.9342001653276386e-06
48, 3.0815997888566924e-06
49, 3.0187999072950334e-06
50, 2.983600279549137e-06
51, 4.6650002332171425e-06
52, 3.236799966543913e-06
53, 3.0390001484192908e-06
54, 3.1681996915722265e-06
55, 3.4222000977024434e-06
56, 3.3738000638550147e-06
57, 3.324000135762617e-06
58, 3.258400101913139e-06
59, 4.272200021659955e-06
60, 3.39680009346921e-06
61, 3.429199932725169e-06
62, 4.382200131658465e-06
63, 3.879199721268378e-06
64, 3.70760026271455e-06
65, 5.164599861018359e-06
66, 3.5611999919638036e-06
67, 4.337400241638534e-06
68, 9.07239991647657e-06
69, 6.919199950061738e-06
70, 3.943799674743786e-06
71, 3.6293997254688294e-06
72, 3.619400013121776e-06
73, 3.6125999031355605e-06
74, 3.6973997339373454e-06
75, 4.488400008995086e-06
76, 3.522999759297818e-06
77, 3.851600195048377e-06
78, 4.148999869357794e-06
79, 4.003999856649898e-06
80, 3.967800148529932e-06
81, 3.872399975080043e-06
82, 3.939000089303591e-06
83, 5.30520010215696e-06
84, 4.931000148644671e-06
85, 6.413200026145205e-06
86, 3.8789999962318685e-06
87, 4.12439985666424e-06
88, 4.09380008932203e-06
89, 3.941400063922629e-06
90, 4.184999852441251e-06
91, 4.941000224789605e-06
92, 4.161199831287376e-06
93, 4.172599801677279e-06
94, 4.228000034345314e-06
95, 4.215599983581342e-06
96, 4.177400114713237e-06
97, 4.287599949748255e-06
98, 4.250599886290729e-06
99, 5.078200047137216e-06
100, 4.509599966695532e-06
101, 4.578000152832829e-06
102, 4.493999949772842e-06
103, 4.737400013254956e-06
104, 4.5411998144118115e-06
105, 4.634400102077052e-06
106, 4.724799873656594e-06
107, 5.899800089537166e-06
108, 4.655000157072209e-06
109, 4.6313998609548435e-06
110, 4.744200123241171e-06
111, 4.569399970932864e-06
112, 4.7365996579173956e-06
113, 4.736399932880886e-06
114, 4.900000203633681e-06
115, 5.756999962613918e-06
116, 5.193399920244701e-06
117, 4.7007997636683285e-06
118, 4.681000064010732e-06
119, 5.170399890630506e-06
120, 7.77240020397585e-06
121, 5.2815998060395945e-06
122, 5.002200123271905e-06
123, 5.032400076743216e-06
124, 5.4298001487040896e-06
125, 1.1562600047909654e-05
126, 5.584199971053749e-06
127, 5.175200203666463e-06
128, 5.191999662201852e-06
129, 5.181199958315119e-06
130, 5.914400026085786e-06
131, 6.008399941492825e-06
132, 6.1361999541986735e-06
133, 5.524399966816418e-06
134, 5.526399763766676e-06
135, 5.846000203746371e-06
136, 6.475799818872474e-06
137, 5.69280018680729e-06
138, 5.466999937198125e-06
139, 5.8614001318346706e-06
140, 5.809600042994134e-06
141, 5.945599696133286e-06
142, 6.0324000514810905e-06
143, 5.969199992250651e-06
144, 5.991799844196066e-06
145, 6.134399882284924e-06
146, 1.4437999925576151e-05
147, 6.549399768118747e-06
148, 6.146200030343607e-06
149, 6.309599848464132e-06
150, 6.331800250336528e-06
151, 6.064799890737049e-06
152, 6.730600216542371e-06
153, 7.271999857039191e-06
154, 6.811599814682268e-06
155, 6.159400072647259e-06
156, 5.921599949942902e-06
157, 6.085600034566596e-06
158, 6.29760033916682e-06
159, 6.3624000176787375e-06
160, 6.889400174259208e-06
161, 6.438399941544048e-06
162, 6.392400246113539e-06
163, 1.24376001622295e-05
164, 6.984200081205927e-06
165, 6.641800064244308e-06
166, 9.44720013649203e-06
167, 6.2944000092102215e-06
168, 6.4883999584708365e-06
169, 6.355200093821623e-06
170, 6.597600076929666e-06
171, 6.6368000261718406e-06
172, 6.6259999584872276e-06
173, 6.8069999542785805e-06
174, 6.873199890833348e-06
175, 6.983200000831857e-06
176, 6.889799988130108e-06
177, 6.945399945834652e-06
178, 6.828999903518706e-06
179, 7.13440022082068e-06
180, 7.1594000473851335e-06
181, 6.961200051591732e-06
182, 6.891600060043857e-06
183, 7.157800064305775e-06
184, 7.199399988166988e-06
185, 7.174200072768145e-06
186, 7.031199857010506e-06
187, 7.048999759717845e-06
188, 7.429999823216349e-06
189, 7.497799742850475e-06
190, 1.0769800064736046e-05
191, 7.209599789348431e-06
192, 7.284800085471943e-06
193, 7.45979996281676e-06
194, 7.803399785188959e-06
195, 7.209199975477532e-06
196, 7.4585997936083006e-06
